date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:20:05	106/106	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2027%20Feb%202023%2023:20:12%20GMT	https://alloniq.pl/robots.txt		(from )
00:20:05	10992/10992	---MCZ	200	added ('OK')	text/html	etag:W/%2263ee601e-2af0%22	https://alloniq.pl/	C:/My%20Web%20Sites/zzzz/alloniq.pl/index.html	(from )
00:20:05	11024/11024	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2027%20Feb%202023%2023:20:05%20GMT	https://kit.fontawesome.com/16b229dcfa.js	C:/My%20Web%20Sites/zzzz/kit.fontawesome.com/16b229dcfa.js	(from https://alloniq.pl/)
00:20:06	5112/5112	---MCZ	200	added ('OK')	text/css	etag:W/%2263c5f76c-13f8%22	https://alloniq.pl/css/style.css	C:/My%20Web%20Sites/zzzz/alloniq.pl/css/style.css	(from https://alloniq.pl/)
00:20:06	89664/89664	---M--	200	added ('OK')	text/javascript	date:Thu,%2008%20Sep%202022%2018:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.6.1/jquery.min.js	C:/My%20Web%20Sites/zzzz/ajax.googleapis.com/ajax/libs/jquery/3.6.1/jquery.min.js	(from https://alloniq.pl/)
00:20:06	240027/240027	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jqueryui/1.11.3/jquery-ui.min.js	C:/My%20Web%20Sites/zzzz/ajax.googleapis.com/ajax/libs/jqueryui/1.11.3/jquery-ui.min.js	(from https://alloniq.pl/)
00:20:07	1833421/1833421	---M--	200	added ('OK')	image/gif	etag:%226371070f-1bf9cd%22	https://alloniq.pl/images/bg.gif	C:/My%20Web%20Sites/zzzz/alloniq.pl/images/bg.gif	(from https://alloniq.pl/)
00:20:07	1440/1440	---M--	200	added ('OK')	image/svg+xml	etag:%22636cd022-5a0%22	https://alloniq.pl/images/nitro.svg	C:/My%20Web%20Sites/zzzz/alloniq.pl/images/nitro.svg	(from https://alloniq.pl/)
00:20:07	2502867/2502867	---M--	200	added ('OK')	image/gif	etag:%2263e18d69-2630d3%22	https://alloniq.pl/images/avatar.gif	C:/My%20Web%20Sites/zzzz/alloniq.pl/images/avatar.gif	(from https://alloniq.pl/)
00:20:07	278/278	---M--	200	added ('OK')	image/svg+xml	etag:%22636cd040-116%22	https://alloniq.pl/images/boost.svg	C:/My%20Web%20Sites/zzzz/alloniq.pl/images/boost.svg	(from https://alloniq.pl/)
00:20:07	172200/172200	---M--	200	added ('OK')	image/gif	date:Wed,%2016%20Mar%202022%2019:27:14%20GMT	https://cdn.discordapp.com/emojis/953736221690052648.gif?size=44&quality=lossless	C:/My%20Web%20Sites/zzzz/cdn.discordapp.com/emojis/953736221690052648c486.gif	(from https://alloniq.pl/)
00:20:08	942/942	---M--	200	added ('OK')	image/gif	date:Wed,%2016%20Mar%202022%2019:27:07%20GMT	https://cdn.discordapp.com/emojis/953736192946503690.gif?size=44&quality=lossless	C:/My%20Web%20Sites/zzzz/cdn.discordapp.com/emojis/953736192946503690c486.gif	(from https://alloniq.pl/)
00:20:08	49719/49719	---M--	200	added ('OK')	image/png	etag:56f6d4230965dcc3fc564688d68b9469	https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Spotify_logo_without_text.svg/1024px-Spotify_logo_without_text.svg.png	C:/My%20Web%20Sites/zzzz/upload.wikimedia.org/wikipedia/commons/thumb/1/19/Spotify_logo_without_text.svg/1024px-Spotify_logo_without_text.svg.png	(from https://alloniq.pl/)
